decile,response_rate,count,responders_captured,cumulative_responders,cumulative_pct_of_all_responders,mail_cost,revenue,profit,cumulative_mail_cost,cumulative_revenue,cumulative_profit,roi_pct
9,0.5097087378640777,824,420,420,45.3,824,21000,20176,824,21000,20176,2448.5
8,0.21844660194174756,824,180,600,64.7,824,9000,8176,1648,30000,28352,992.2
7,0.09344660194174757,824,77,677,73.0,824,3850,3026,2472,33850,31378,367.2
6,0.05103280680437424,823,42,719,77.5,823,2100,1277,3295,35950,32655,155.2
5,0.05339805825242718,824,44,763,82.2,824,2200,1376,4119,38150,34031,167.0
4,0.05461165048543689,824,45,808,87.1,824,2250,1426,4943,40400,35457,173.1
3,0.03766707168894289,823,31,839,90.4,823,1550,727,5766,41950,36184,88.3
2,0.038834951456310676,824,32,871,93.9,824,1600,776,6590,43550,36960,94.2
1,0.03640776699029126,824,30,901,97.1,824,1500,676,7414,45050,37636,82.0
0,0.032766990291262135,824,27,928,100.0,824,1350,526,8238,46400,38162,63.8
